reporting_start,reporting_end,campaign_name,delivery,results,result_indicator,reach,impressions,cost_per_result,amount_spent,end_date,frequency,link_clicks,button_clicks,comments,reactions,shares,engagement
12/22/17,12/22/17,Retargeting,completed,,,991,1463,,25.3812,12/31/17,1.476286579,19,3,1,14,1,36
12/27/17,12/27/17,Retargeting,completed,,,884,1544,,24.9756,12/31/17,1.746606335,10,5,,6,,18
12/28/17,12/28/17,Retargeting,completed,,,847,1592,,24.9132,12/31/17,1.87957497,3,1,,8,,12
1/11/18,1/11/18,Traffic,inactive,50,actions:link_click,1825,1891,0.6064,23.6496,1/17/18,1.036164384,46,12,,6,,56
1/23/18,1/23/18,Post,completed,57,actions:post_engagement,1629,1648,0.513684211,22.8384,1/23/18,1.011663597,15,15,,42,,57
1/25/18,1/25/18,Post,recently_completed,41,actions:post_engagement,1064,1182,0.699512195,22.3704,1/29/18,1.110902256,2,1,,37,,41
1/2/18,1/2/18,Post,completed,188,actions:post_engagement,1162,1234,0.144148936,21.138,1/8/18,1.061962134,9,5,1,175,,188
1/9/18,1/9/18,Retargeting,completed,1,actions:offsite_conversion.fb_pixel_complete_registration,1723,2803,26.71,20.8338,1/15/18,1.626813697,40,18,,17,3,61
12/29/17,12/29/17,Retargeting,completed,,,808,1310,,19.4142,12/31/17,1.621287129,2,1,,8,2,12
1/15/18,1/15/18,Post,inactive,95,actions:post_engagement,2884,2919,0.239368421,17.7372,1/15/18,1.012135922,10,7,1,73,2,95
1/26/18,1/26/18,Post,recently_completed,33,actions:post_engagement,858,931,0.662727273,17.0586,1/29/18,1.085081585,2,1,,31,,33
12/30/17,12/30/17,Retargeting,completed,,,772,1122,,16.341,12/31/17,1.453367876,7,3,,3,,10
1/27/18,1/27/18,Post,recently_completed,26,actions:post_engagement,877,950,0.746538462,15.1398,1/29/18,1.083238312,1,0,,25,,26
2/1/18,2/1/18,Post,active,161,actions:post_engagement,821,829,0.112670807,14.1492,2/5/18,1.009744214,2,2,,157,,161
1/28/18,1/28/18,Post,recently_completed,28,actions:post_engagement,685,725,0.538571429,11.7624,1/29/18,1.058394161,1,1,,27,,28
1/17/18,1/17/18,Traffic,inactive,27,actions:link_click,1572,1626,0.530740741,11.1774,1/17/18,1.034351145,26,7,,,,27
12/31/17,12/31/17,Retargeting,completed,,,557,723,,9.7578,12/31/17,1.298025135,5,4,,6,,11
1/29/18,1/29/18,Post,recently_completed,11,actions:post_engagement,479,507,0.948181818,8.1354,1/29/18,1.058455115,2,0,,7,,11
12/21/17,12/21/17,Retargeting,completed,,,333,385,,5.6862,12/31/17,1.156156156,1,1,,5,,6
2/4/18,2/4/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/3/18,2/3/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/2/18,2/2/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/1/18,2/1/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/31/18,1/31/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/30/18,1/30/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/29/18,1/29/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/28/18,1/28/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/27/18,1/27/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/26/18,1/26/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/25/18,1/25/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/24/18,1/24/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/23/18,1/23/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/22/18,1/22/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/21/18,1/21/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/20/18,1/20/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/19/18,1/19/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/18/18,1/18/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/17/18,1/17/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/16/18,1/16/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/15/18,1/15/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/14/18,1/14/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/13/18,1/13/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/12/18,1/12/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/11/18,1/11/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/10/18,1/10/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/9/18,1/9/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/8/18,1/8/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/7/18,1/7/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/6/18,1/6/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/5/18,1/5/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/4/18,1/4/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/3/18,1/3/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/2/18,1/2/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/1/18,1/1/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/31/17,12/31/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/30/17,12/30/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/29/17,12/29/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/28/17,12/28/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/27/17,12/27/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/26/17,12/26/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/25/17,12/25/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/24/17,12/24/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/23/17,12/23/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/4/18,2/4/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/3/18,2/3/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/2/18,2/2/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/1/18,2/1/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/31/18,1/31/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/30/18,1/30/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/29/18,1/29/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/28/18,1/28/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/27/18,1/27/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/26/18,1/26/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/25/18,1/25/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/24/18,1/24/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/23/18,1/23/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/22/18,1/22/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/21/18,1/21/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/20/18,1/20/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/19/18,1/19/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/18/18,1/18/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/17/18,1/17/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/16/18,1/16/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/15/18,1/15/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/14/18,1/14/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/13/18,1/13/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/12/18,1/12/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/11/18,1/11/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/10/18,1/10/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/9/18,1/9/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/8/18,1/8/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/7/18,1/7/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/6/18,1/6/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/5/18,1/5/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/4/18,1/4/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/3/18,1/3/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/2/18,1/2/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
1/1/18,1/1/18,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/31/17,12/31/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/30/17,12/30/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/29/17,12/29/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/28/17,12/28/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/27/17,12/27/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/26/17,12/26/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/25/17,12/25/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/24/17,12/24/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
12/23/17,12/23/17,Traffic,completed,,,0,0,,0,12/22/17,0,,0,,,,
2/4/18,2/4/18,Lead Gen,completed,,,0,0,,0,1/7/18,0,,0,,,,
